I, J, U, V, Uerr, Verr 
163,91,61.0822,86.9587,3.2294,4.2667
163,92,61.0822,86.9587,3.2294,4.2667
163,93,61.0822,86.9587,3.2294,4.2667
163,94,61.0822,86.9587,3.2294,4.2667
163,95,51.5803,62.0129,2.7061,3.0551
163,96,51.5803,62.0129,2.7061,3.0551
163,97,51.5803,62.0129,2.7061,3.0551
163,98,51.5803,62.0129,2.7061,3.0551
163,99,52.0565,42.0328,3.7872,3.7088
163,100,52.0565,42.0328,3.7872,3.7088
163,101,52.0565,42.0328,3.7872,3.7088
163,102,52.0565,42.0328,3.7872,3.7088
164,91,61.0822,86.9587,3.2294,4.2667
164,92,61.0822,86.9587,3.2294,4.2667
164,93,61.0822,86.9587,3.2294,4.2667
164,94,61.0822,86.9587,3.2294,4.2667
164,95,51.5803,62.0129,2.7061,3.0551
164,96,51.5803,62.0129,2.7061,3.0551
164,97,51.5803,62.0129,2.7061,3.0551
164,98,51.5803,62.0129,2.7061,3.0551
164,99,52.0565,42.0328,3.7872,3.7088
164,100,52.0565,42.0328,3.7872,3.7088
164,101,52.0565,42.0328,3.7872,3.7088
164,102,52.0565,42.0328,3.7872,3.7088
165,91,61.0822,86.9587,3.2294,4.2667
165,92,61.0822,86.9587,3.2294,4.2667
165,93,61.0822,86.9587,3.2294,4.2667
165,94,61.0822,86.9587,3.2294,4.2667
165,95,51.5803,62.0129,2.7061,3.0551
165,96,51.5803,62.0129,2.7061,3.0551
165,97,51.5803,62.0129,2.7061,3.0551
165,98,51.5803,62.0129,2.7061,3.0551
165,99,52.0565,42.0328,3.7872,3.7088
165,100,52.0565,42.0328,3.7872,3.7088
165,101,52.0565,42.0328,3.7872,3.7088
165,102,52.0565,42.0328,3.7872,3.7088
166,91,61.0822,86.9587,3.2294,4.2667
166,92,61.0822,86.9587,3.2294,4.2667
166,93,61.0822,86.9587,3.2294,4.2667
166,94,61.0822,86.9587,3.2294,4.2667
166,95,51.5803,62.0129,2.7061,3.0551
166,96,51.5803,62.0129,2.7061,3.0551
166,97,51.5803,62.0129,2.7061,3.0551
166,98,51.5803,62.0129,2.7061,3.0551
166,99,52.0565,42.0328,3.7872,3.7088
166,100,52.0565,42.0328,3.7872,3.7088
166,101,52.0565,42.0328,3.7872,3.7088
166,102,52.0565,42.0328,3.7872,3.7088
167,87,67.1654,100.1108,3.2168,4.2361
167,88,67.1654,100.1108,3.2168,4.2361
167,89,67.1654,100.1108,3.2168,4.2361
167,90,67.1654,100.1108,3.2168,4.2361
167,91,61.8246,77.5646,2.6974,3.0363
167,92,61.8246,77.5646,2.6974,3.0363
167,93,61.8246,77.5646,2.6974,3.0363
167,94,61.8246,77.5646,2.6974,3.0363
167,95,61.1854,71.9547,2.6974,3.0363
167,96,61.1854,71.9547,2.6974,3.0363
167,97,61.1854,71.9547,2.6974,3.0363
167,98,61.1854,71.9547,2.6974,3.0363
