I, J, U, V, Uerr, Verr 
163,91,36.5934,59.5363,3.2294,4.2667
163,92,36.5934,59.5363,3.2294,4.2667
163,93,36.5934,59.5363,3.2294,4.2667
163,94,36.5934,59.5363,3.2294,4.2667
163,95,23.0316,34.4169,2.7061,3.0551
163,96,23.0316,34.4169,2.7061,3.0551
163,97,23.0316,34.4169,2.7061,3.0551
163,98,23.0316,34.4169,2.7061,3.0551
164,91,36.5934,59.5363,3.2294,4.2667
164,92,36.5934,59.5363,3.2294,4.2667
164,93,36.5934,59.5363,3.2294,4.2667
164,94,36.5934,59.5363,3.2294,4.2667
164,95,23.0316,34.4169,2.7061,3.0551
164,96,23.0316,34.4169,2.7061,3.0551
164,97,23.0316,34.4169,2.7061,3.0551
164,98,23.0316,34.4169,2.7061,3.0551
165,91,36.5934,59.5363,3.2294,4.2667
165,92,36.5934,59.5363,3.2294,4.2667
165,93,36.5934,59.5363,3.2294,4.2667
165,94,36.5934,59.5363,3.2294,4.2667
165,95,23.0316,34.4169,2.7061,3.0551
165,96,23.0316,34.4169,2.7061,3.0551
165,97,23.0316,34.4169,2.7061,3.0551
165,98,23.0316,34.4169,2.7061,3.0551
166,91,36.5934,59.5363,3.2294,4.2667
166,92,36.5934,59.5363,3.2294,4.2667
166,93,36.5934,59.5363,3.2294,4.2667
166,94,36.5934,59.5363,3.2294,4.2667
166,95,23.0316,34.4169,2.7061,3.0551
166,96,23.0316,34.4169,2.7061,3.0551
166,97,23.0316,34.4169,2.7061,3.0551
166,98,23.0316,34.4169,2.7061,3.0551
173,75,5.8191,-23.7616,1.7345,2.8751
173,76,5.8191,-23.7616,1.7345,2.8751
173,77,5.8191,-23.7616,1.7345,2.8751
173,78,5.8191,-23.7616,1.7345,2.8751
173,83,2.8120,-19.8530,2.0539,1.7853
173,84,2.8120,-19.8530,2.0539,1.7853
173,85,2.8120,-19.8530,2.0539,1.7853
173,86,2.8120,-19.8530,2.0539,1.7853
173,87,35.4855,-3.9319,2.0539,1.7853
173,88,35.4855,-3.9319,2.0539,1.7853
173,89,35.4855,-3.9319,2.0539,1.7853
173,90,35.4855,-3.9319,2.0539,1.7853
174,75,5.8191,-23.7616,1.7345,2.8751
174,76,5.8191,-23.7616,1.7345,2.8751
174,77,5.8191,-23.7616,1.7345,2.8751
174,78,5.8191,-23.7616,1.7345,2.8751
174,83,2.8120,-19.8530,2.0539,1.7853
174,84,2.8120,-19.8530,2.0539,1.7853
174,85,2.8120,-19.8530,2.0539,1.7853
174,86,2.8120,-19.8530,2.0539,1.7853
174,87,35.4855,-3.9319,2.0539,1.7853
174,88,35.4855,-3.9319,2.0539,1.7853
174,89,35.4855,-3.9319,2.0539,1.7853
174,90,35.4855,-3.9319,2.0539,1.7853
174,91,27.9489,-21.1128,0.9824,1.0196
174,92,27.9489,-21.1128,0.9824,1.0196
174,93,27.9489,-21.1128,0.9824,1.0196
174,94,27.9489,-21.1128,0.9824,1.0196
174,95,7.4156,-27.3089,0.9824,1.0196
174,96,7.4156,-27.3089,0.9824,1.0196
174,97,7.4156,-27.3089,0.9824,1.0196
174,98,7.4156,-27.3089,0.9824,1.0196
174,99,4.6416,-32.2512,0.9922,1.0098
174,100,4.6416,-32.2512,0.9922,1.0098
