"V1","V2","V3","V4","V5","V6"
3,4,0,-12.404,0.337,0.553
3,5,0.083,-12.419,0.462,0.571
3,6,0.106,-12.25,0.146,0.636
3,7,0.12,-12.122,0.627,0.233
3,8,0.13,-12.024,0.735,0.81
3,9,0.137,-11.943,0.23,0.46
3,10,0.142,-11.874,0.139,0.161
3,11,0.145,-11.812,0.036,0.172
3,12,0.148,-11.756,0.989,0.146
3,13,0.15,-11.704,0.827,0.306
3,14,0.152,-11.653,0.696,0.761
3,15,0.153,-11.604,0.744,0.079
3,16,0.155,-11.556,0.376,0.157
3,17,0.156,-11.507,0.25,0.436
3,18,0.158,-11.458,0.743,0.697
3,19,0.159,-11.408,0.407,0.882
3,20,0.161,-11.358,0.663,0.051
3,21,0.163,-11.308,0.958,0.532
3,22,0.165,-11.258,0.665,0.895
3,23,0.167,-11.207,0.066,0.478
3,24,0.169,-11.155,0.541,0.969
3,25,0.172,-11.104,0.009,0.457
3,26,0.174,-11.052,0.943,0.711
3,27,0.177,-11,0.525,0.77
3,28,0.179,-10.947,0.151,0.86
3,29,0.182,-10.894,0.168,0.011
3,30,0.184,-10.841,0.432,0.144
3,31,0.187,-10.788,0.489,0.354
3,32,0.189,-10.734,0.439,0.948
3,33,0.192,-10.679,0.139,0.568
3,34,0.194,-10.622,0.497,0.741
3,35,0.196,-10.563,0.911,0.18
3,36,0.198,-10.5,0.884,0.026
3,37,0.199,-10.433,0.734,0.115
3,38,0.2,-10.36,0.873,0.125
3,39,0.202,-10.281,0.231,0.048
3,40,0.203,-10.193,0.378,0.892
3,41,0.204,-10.096,0.576,0.55
3,42,0.206,-9.986,0.209,0.323
3,43,0.208,-9.864,0.534,0.778
3,44,0.212,-9.724,0.948,0.142
3,45,0.216,-9.564,0.81,0.683
3,46,0.222,-9.38,0.361,0.141
3,47,0.232,-9.163,0.699,0.645
3,48,0.246,-8.903,0.158,0.473
3,49,0.267,-8.581,0.55,0.42
3,50,0.3,-8.16,0.981,0.937
3,51,0.354,-7.595,0.134,0.118
3,52,0.481,-7.017,0.998,0.482
3,53,1.203,-6.762,0.327,0.939
4,4,0,-11.269,0.159,0.086
4,5,0.109,-11.366,0.024,0.769
4,6,0.167,-11.249,0.351,0.12
